TOT,Latent Space,Jump,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
3,True,1s,1,1,3,4,spherical,0.4285185185185185,0.0266103085296408,0.4938271604938271,0.3580246913580246,31.0,2.0,9.0,39.0,0.9393939393939394,0.4428571428571428,0.6019417475728155
3,True,1s,1,1,4,1,full,0.4341975308641975,0.023100279724169,0.4814814814814814,0.3703703703703703,32.0,1.0,7.0,41.0,0.9696969696969696,0.4383561643835616,0.6037735849056604
3,True,1s,1,1,4,1,diag,0.4461728395061728,0.0254823906431741,0.5308641975308642,0.3950617283950617,29.0,4.0,14.0,34.0,0.8787878787878788,0.4603174603174603,0.6041666666666666
3,True,1s,1,1,4,1,spherical,0.4795061728395062,0.0343343077447282,0.5802469135802469,0.382716049382716,30.0,3.0,17.0,31.0,0.9090909090909092,0.4918032786885246,0.6382978723404255
3,True,1s,1,1,4,2,full,,,,,,,,,,,
3,True,1s,1,1,4,2,diag,0.4320987654320987,0.0199068092550581,0.4814814814814814,0.382716049382716,33.0,0.0,6.0,42.0,1.0,0.44,0.6111111111111112
3,True,1s,1,1,4,2,spherical,0.4283950617283951,0.0266792380061411,0.5061728395061729,0.3703703703703703,32.0,1.0,9.0,39.0,0.9696969696969696,0.4507042253521127,0.6153846153846154
3,True,1s,1,1,4,3,full,,,,,,,,,,,
3,True,1s,1,1,4,3,diag,0.4348148148148149,0.0208477544966041,0.4814814814814814,0.382716049382716,33.0,0.0,6.0,42.0,1.0,0.44,0.6111111111111112
3,True,1s,1,1,4,3,spherical,0.4274074074074074,0.0288888888888888,0.4938271604938271,0.3580246913580246,33.0,0.0,7.0,41.0,1.0,0.4459459459459459,0.616822429906542
3,True,1s,1,1,4,4,full,,,,,,,,,,,
3,True,1s,1,1,4,4,diag,0.4375308641975309,0.0195452023971983,0.4938271604938271,0.3703703703703703,32.0,1.0,8.0,40.0,0.9696969696969696,0.4444444444444444,0.6095238095238095
3,True,1s,1,1,4,4,spherical,0.4256790123456791,0.0244731095177557,0.5061728395061729,0.3703703703703703,33.0,0.0,8.0,40.0,1.0,0.4520547945205479,0.6226415094339622
3,True,1s,1,2,1,1,full,0.5697530864197531,0.0280100032210825,0.6172839506172839,0.4938271604938271,4.0,29.0,46.0,2.0,0.1212121212121212,0.6666666666666666,0.2051282051282051
3,True,1s,1,2,1,1,diag,0.5440740740740739,0.044384561853134,0.6296296296296297,0.4320987654320987,5.0,28.0,46.0,2.0,0.1515151515151515,0.7142857142857143,0.25
3,True,1s,1,2,1,1,spherical,0.5604938271604938,0.035695882209385,0.654320987654321,0.4814814814814814,6.0,27.0,47.0,1.0,0.1818181818181818,0.8571428571428571,0.3
3,True,1s,1,2,1,2,full,0.47,0.0515646070763816,0.6296296296296297,0.3580246913580246,9.0,24.0,42.0,6.0,0.2727272727272727,0.6,0.3749999999999999
3,True,1s,1,2,1,2,diag,0.4748148148148148,0.0575213259724143,0.6049382716049383,0.345679012345679,18.0,15.0,31.0,17.0,0.5454545454545454,0.5142857142857142,0.5294117647058822
3,True,1s,1,2,1,2,spherical,0.5414814814814813,0.0519992027420622,0.691358024691358,0.419753086419753,20.0,13.0,36.0,12.0,0.6060606060606061,0.625,0.6153846153846154
3,True,1s,1,2,1,3,full,0.4529629629629629,0.0434629274566283,0.5555555555555556,0.3209876543209876,29.0,4.0,16.0,32.0,0.8787878787878788,0.4754098360655737,0.6170212765957447
3,True,1s,1,2,1,3,diag,0.4862962962962963,0.0454916075643274,0.5925925925925926,0.3209876543209876,31.0,2.0,17.0,31.0,0.9393939393939394,0.5,0.6526315789473685
3,True,1s,1,2,1,3,spherical,0.4692592592592591,0.0420658065835406,0.5679012345679012,0.3703703703703703,24.0,9.0,22.0,26.0,0.7272727272727273,0.48,0.5783132530120482
3,True,1s,1,2,1,4,full,0.4627160493827161,0.0360138502375345,0.5679012345679012,0.382716049382716,31.0,2.0,15.0,33.0,0.9393939393939394,0.484375,0.6391752577319588
