Feature Type,Window Size,Step Size,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance Type,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
Relevant Features,3s,3s,2,1,1,2,spherical,0.5071875,0.0317988264655055,0.59375,0.4375,52.0,44.0,62.0,34.0,0.5416666666666666,0.6046511627906976,0.5714285714285714
Relevant Features,3s,3s,2,1,1,3,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,1,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,1,3,spherical,0.4978125,0.0311036503641007,0.5885416666666666,0.4270833333333333,66.0,30.0,47.0,49.0,0.6875,0.5739130434782609,0.6255924170616114
Relevant Features,3s,3s,2,1,1,4,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,1,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,1,4,spherical,0.50171875,0.0274420850857613,0.59375,0.4322916666666667,72.0,24.0,42.0,54.0,0.75,0.5714285714285714,0.6486486486486486
Relevant Features,3s,3s,2,1,2,1,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,2,1,diag,0.5013541666666668,0.0161646395851149,0.6041666666666666,0.4322916666666667,38.0,58.0,78.0,18.0,0.3958333333333333,0.6785714285714286,0.5
Relevant Features,3s,3s,2,1,2,1,spherical,0.50875,0.0352929825610638,0.59375,0.421875,51.0,45.0,63.0,33.0,0.53125,0.6071428571428571,0.5666666666666667
Relevant Features,3s,3s,2,1,2,2,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,2,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,2,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,1,2,3,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,2,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,2,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,1,2,4,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,2,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,2,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,1,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,1,spherical,0.4915624999999999,0.0304923786584451,0.5833333333333334,0.421875,55.0,41.0,57.0,39.0,0.5729166666666666,0.5851063829787234,0.5789473684210527
Relevant Features,3s,3s,2,1,3,2,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,3,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,4,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,3,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,1,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,1,spherical,0.49640625,0.024953244038017,0.5729166666666666,0.4114583333333333,74.0,22.0,36.0,60.0,0.7708333333333334,0.5522388059701493,0.6434782608695653
Relevant Features,3s,3s,2,1,4,2,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,3,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,4,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,1,4,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,1,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,1,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,2,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,3,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,4,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,1,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,1,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,1,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,2,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,3,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,4,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,2,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,1,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,1,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,2,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,3,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,4,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,3,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,1,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,1,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,2,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,3,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,4,full,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,2,4,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,1,full,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,1,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,2,full,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,3,full,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,4,full,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,3,1,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,3,2,1,full,,,,,,,,,,,
Relevant Features,3s,3s,2,3,2,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,2,3,2,1,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,3,2,2,full,,,,,,,,,,,
