TOT,Latent Space,Jump,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
3,True,1s,1,1,3,3,spherical,0.5020833333333333,0.0139948217109837,0.546875,0.4739583333333333,92.0,4.0,13.0,83.0,0.9583333333333334,0.5257142857142857,0.6789667896678967
3,True,1s,1,1,3,4,full,,,,,,,,,,,
3,True,1s,1,1,3,4,diag,0.49734375,0.0064421420021906,0.5104166666666666,0.46875,95.0,1.0,3.0,93.0,0.9895833333333334,0.5053191489361702,0.6690140845070423
3,True,1s,1,1,3,4,spherical,0.5050000000000001,0.013679586119064,0.5364583333333334,0.4791666666666667,95.0,1.0,8.0,88.0,0.9895833333333334,0.5191256830601093,0.6810035842293908
3,True,1s,1,1,4,1,full,0.4969270833333333,0.0081054452183393,0.515625,0.4635416666666667,96.0,0.0,3.0,93.0,1.0,0.5079365079365079,0.6736842105263158
3,True,1s,1,1,4,1,diag,0.4908333333333333,0.0099945731802591,0.5104166666666666,0.4635416666666667,94.0,2.0,4.0,92.0,0.9791666666666666,0.5053763440860215,0.6666666666666667
3,True,1s,1,1,4,1,spherical,0.4966666666666666,0.0087313789957066,0.515625,0.4739583333333333,96.0,0.0,3.0,93.0,1.0,0.5079365079365079,0.6736842105263158
3,True,1s,1,1,4,2,full,0.4959375,0.0053915684560864,0.5052083333333334,0.4791666666666667,96.0,0.0,1.0,95.0,1.0,0.5026178010471204,0.6689895470383275
3,True,1s,1,1,4,2,diag,0.4984374999999999,0.0104556561978566,0.5208333333333334,0.4635416666666667,96.0,0.0,4.0,92.0,1.0,0.5106382978723404,0.676056338028169
3,True,1s,1,1,4,2,spherical,0.5065625,0.0124045837462071,0.5364583333333334,0.4739583333333333,94.0,2.0,9.0,87.0,0.9791666666666666,0.5193370165745856,0.6787003610108302
3,True,1s,1,1,4,3,full,,,,,,,,,,,
3,True,1s,1,1,4,3,diag,0.4993229166666666,0.0069743064544679,0.5208333333333334,0.4791666666666667,96.0,0.0,4.0,92.0,1.0,0.5106382978723404,0.676056338028169
3,True,1s,1,1,4,3,spherical,0.4965624999999999,0.0103177596015048,0.5208333333333334,0.46875,92.0,4.0,8.0,88.0,0.9583333333333334,0.5111111111111111,0.6666666666666666
3,True,1s,1,1,4,4,full,,,,,,,,,,,
3,True,1s,1,1,4,4,diag,0.4975520833333333,0.0056315066534187,0.5052083333333334,0.4791666666666667,96.0,0.0,1.0,95.0,1.0,0.5026178010471204,0.6689895470383275
3,True,1s,1,1,4,4,spherical,0.4953124999999999,0.0090060502425992,0.515625,0.4583333333333333,96.0,0.0,3.0,93.0,1.0,0.5079365079365079,0.6736842105263158
3,True,1s,1,2,1,1,full,0.5034895833333334,0.0158329050106538,0.5364583333333334,0.4635416666666667,10.0,86.0,93.0,3.0,0.1041666666666666,0.7692307692307693,0.1834862385321101
3,True,1s,1,2,1,1,diag,0.5047395833333335,0.0293067228818984,0.5729166666666666,0.4375,30.0,66.0,80.0,16.0,0.3125,0.6521739130434783,0.4225352112676057
3,True,1s,1,2,1,1,spherical,0.5106770833333334,0.0265510085436975,0.5677083333333334,0.453125,24.0,72.0,85.0,11.0,0.25,0.6857142857142857,0.366412213740458
3,True,1s,1,2,1,2,full,0.4897395833333333,0.0411455366550485,0.5885416666666666,0.390625,37.0,59.0,76.0,20.0,0.3854166666666667,0.6491228070175439,0.4836601307189542
3,True,1s,1,2,1,2,diag,0.5556249999999999,0.0331037012239148,0.6666666666666666,0.4635416666666667,60.0,36.0,68.0,28.0,0.625,0.6818181818181818,0.6521739130434783
3,True,1s,1,2,1,2,spherical,0.5815104166666667,0.0311663376625905,0.65625,0.5104166666666666,51.0,45.0,75.0,21.0,0.53125,0.7083333333333334,0.6071428571428571
3,True,1s,1,2,1,3,full,0.4743749999999999,0.0229128784747792,0.53125,0.4010416666666667,85.0,11.0,17.0,79.0,0.8854166666666666,0.5182926829268293,0.6538461538461539
3,True,1s,1,2,1,3,diag,0.5167708333333334,0.0317031382625513,0.5989583333333334,0.4375,72.0,24.0,43.0,53.0,0.75,0.576,0.6515837104072397
3,True,1s,1,2,1,3,spherical,0.5476041666666667,0.02419516100323,0.6041666666666666,0.4947916666666667,78.0,18.0,38.0,58.0,0.8125,0.5735294117647058,0.6724137931034482
3,True,1s,1,2,1,4,full,0.4788020833333333,0.0158363312677158,0.5208333333333334,0.4270833333333333,95.0,1.0,5.0,91.0,0.9895833333333334,0.510752688172043,0.6737588652482269
3,True,1s,1,2,1,4,diag,0.4976041666666667,0.0190431367959109,0.546875,0.4583333333333333,88.0,8.0,17.0,79.0,0.9166666666666666,0.5269461077844312,0.6692015209125475
3,True,1s,1,2,1,4,spherical,0.5361458333333333,0.0232902783575512,0.5885416666666666,0.4739583333333333,90.0,6.0,23.0,73.0,0.9375,0.5521472392638037,0.6949806949806951
3,True,1s,1,2,2,1,full,0.4751041666666666,0.0351674750598238,0.5833333333333334,0.3958333333333333,46.0,50.0,66.0,30.0,0.4791666666666667,0.6052631578947368,0.5348837209302326
